chr	pos	strand	context	ratio	eff_CT_count	C_count	CT_count	rev_G_count	rev_GA_count	CI_lower	CI_upper
chr17	78441067	+	CG	1.0000000000	1.00	1	1	NA	NA	0.2065432915	1.0000000000
chr17	78441068	-	CG	0.8571428571	14.00	12	14	NA	NA	0.6005809224	0.9599069263
chr17	78441112	+	CG	0.0000000000	1.00	0	1	NA	NA	0.0000000000	0.7934567085
chr17	78441113	-	CG	0.6956521739	23.00	16	23	NA	NA	0.4913387094	0.8439617198
chr17	78441118	+	CG	0.0000000000	1.00	0	1	NA	NA	0.0000000000	0.7934567085
chr17	78441119	-	CG	0.9166666667	24.00	22	24	NA	NA	0.7415078480	0.9768416722
chr17	78441230	-	CG	0.9090909091	55.00	50	55	NA	NA	0.8042226375	0.9605424267
chr17	78441537	+	CG	0.0000000000	2.00	0	2	NA	NA	0.0000000000	0.6576280471
chr17	78441538	-	CG	0.3333333333	6.00	2	6	NA	NA	0.0967693326	0.7000116787
chr17	78441695	+	CG	0.7500000000	8.00	6	8	NA	NA	0.4092698791	0.9285223111
chr17	78441696	-	CG	1.0000000000	5.00	5	5	NA	NA	0.5655085052	1.0000000000
chr17	78441727	+	CG	1.0000000000	10.00	10	10	NA	NA	0.7224598312	1.0000000000
chr17	78441728	-	CG	1.0000000000	5.00	5	5	NA	NA	0.5655085052	1.0000000000
chr17	78441758	+	CG	0.9230769231	13.00	12	13	NA	NA	0.6668546607	0.9862899336
chr17	78441759	-	CG	1.0000000000	6.00	6	6	NA	NA	0.6096569663	1.0000000000
chr17	78441777	+	CG	1.0000000000	15.00	15	15	NA	NA	0.7961107337	1.0000000000
chr17	78441778	-	CG	0.8000000000	5.00	4	5	NA	NA	0.3755282641	0.9637768390
chr17	78441789	+	CG	0.9375000000	16.00	15	16	NA	NA	0.7167073163	0.9888809427
chr17	78441790	-	CG	0.6000000000	5.00	3	5	NA	NA	0.2307199322	0.8823817688
chr17	78441919	+	CG	0.7818181818	55.00	43	55	NA	NA	0.6562971336	0.8705410217
chr17	78441920	-	CG	0.5000000000	2.00	1	2	NA	NA	0.0945286548	0.9054713452
chr17	78441934	+	CG	0.8596491228	57.00	49	57	NA	NA	0.7467529210	0.9271281077
chr17	78441935	-	CG	0.5000000000	2.00	1	2	NA	NA	0.0945286548	0.9054713452
chr17	78441946	+	CG	0.6607142857	56.00	37	56	NA	NA	0.5299920896	0.7708020068
chr17	78441947	-	CG	1.0000000000	2.00	2	2	NA	NA	0.3423719529	1.0000000000
chr17	78441956	+	CG	0.8095238095	63.00	51	63	NA	NA	0.6959297958	0.8875391816
chr17	78441957	-	CG	1.0000000000	1.00	1	1	NA	NA	0.2065432915	1.0000000000
chr17	78441997	+	CG	0.2714285714	70.00	19	70	NA	NA	0.1811946081	0.3854453347
chr17	78441998	-	CG	0.0000000000	1.00	0	1	NA	NA	0.0000000000	0.7934567085
chr17	78442052	+	CG	0.3432835821	67.00	23	67	NA	NA	0.2408884196	0.4626755880
chr17	78442053	-	CG	0.0000000000	1.00	0	1	NA	NA	0.0000000000	0.7934567085
chr17	78442099	+	CG	0.3733333333	75.00	28	75	NA	NA	0.2725580314	0.4864524403
chr17	78442100	-	CG	0.0000000000	2.00	0	2	NA	NA	0.0000000000	0.6576280471
chr17	78442126	+	CG	0.6428571429	70.00	45	70	NA	NA	0.5258817704	0.7449682653
chr17	78442127	-	CG	0.7500000000	4.00	3	4	NA	NA	0.3006360524	0.9544139374
chr17	78442154	+	CG	0.0597014925	67.00	4	67	NA	NA	0.0234589714	0.1436970499
chr17	78442155	-	CG	0.3000000000	10.00	3	10	NA	NA	0.1077892875	0.6032267800
chr17	78442190	+	CG	0.0579710145	69.00	4	69	NA	NA	0.0227720203	0.1397944252
chr17	78442191	-	CG	0.0833333333	12.00	1	12	NA	NA	0.0148647095	0.3538859218
chr17	78442212	+	CG	0.0151515152	66.00	1	66	NA	NA	0.0026795715	0.0809611240
chr17	78442213	-	CG	0.0000000000	12.00	0	12	NA	NA	0.0000000000	0.2425007575
chr17	78442232	+	CG	0.3870967742	62.00	24	62	NA	NA	0.2758446343	0.5115238379
chr17	78442233	-	CG	0.2307692308	13.00	3	13	NA	NA	0.0817937909	0.5025687400
chr17	78442245	+	CG	0.1034482759	58.00	6	58	NA	NA	0.0482807502	0.2078833853
chr17	78442246	-	CG	0.0000000000	12.00	0	12	NA	NA	0.0000000000	0.2425007575
chr17	78442254	+	CG	0.2166666667	60.00	13	60	NA	NA	0.1312292105	0.3362026835
chr17	78442255	-	CG	0.0000000000	12.00	0	12	NA	NA	0.0000000000	0.2425007575
chr17	78442264	+	CG	0.1346153846	52.00	7	52	NA	NA	0.0667679699	0.2527357692
chr17	78442265	-	CG	0.2500000000	12.00	3	12	NA	NA	0.0889400396	0.5323103391
chr17	78442298	+	CG	0.1666666667	60.00	10	60	NA	NA	0.0931307720	0.2803185150
chr17	78442299	-	CG	0.0000000000	11.00	0	11	NA	NA	0.0000000000	0.2588400172
chr17	78442303	+	CG	0.1111111111	63.00	7	63	NA	NA	0.0548747897	0.2120488028
chr17	78442304	-	CG	0.0000000000	10.00	0	10	NA	NA	-0.0000000000	0.2775401688
chr17	78442307	+	CG	0.0806451613	62.00	5	62	NA	NA	0.0349378319	0.1752879221
chr17	78442308	-	CG	0.1250000000	8.00	1	8	NA	NA	0.0224169089	0.4708948058
chr17	78442327	+	CG	0.1929824561	57.00	11	57	NA	NA	0.1113263338	0.3134093734
chr17	78442328	-	CG	0.0000000000	4.00	0	4	NA	NA	0.0000000000	0.4899000204
chr17	78442372	+	CG	0.4054054054	37.00	15	37	NA	NA	0.2634629584	0.5651431687
chr17	78442373	-	CG	0.0000000000	1.00	0	1	NA	NA	0.0000000000	0.7934567085
chr17	78442436	+	CG	0.1500000000	20.00	3	20	NA	NA	0.0523677920	0.3604232959
chr17	78442437	-	CG	1.0000000000	1.00	1	1	NA	NA	0.2065432915	1.0000000000
chr17	78442547	+	CG	0.5333333333	15.00	8	15	NA	NA	0.3011663015	0.7519077474
chr17	78442548	-	CG	0.4782608696	23.00	11	23	NA	NA	0.2923686954	0.6703757014
chr17	78442569	+	CG	1.0000000000	19.00	19	19	NA	NA	0.8318156346	1.0000000000
chr17	78442570	-	CG	0.9615384615	26.00	25	26	NA	NA	0.8110682301	0.9931781910
chr17	78442576	+	CG	0.9500000000	20.00	19	20	NA	NA	0.7638641065	0.9911187806
chr17	78442577	-	CG	1.0000000000	28.00	28	28	NA	NA	0.8793527963	1.0000000000
chr17	78442594	+	CG	0.9600000000	25.00	24	25	NA	NA	0.8045552759	0.9929039496
chr17	78442595	-	CG	0.9642857143	28.00	27	28	NA	NA	0.8228742388	0.9936676435
chr17	78442614	+	CG	1.0000000000	31.00	31	31	NA	NA	0.8897409993	1.0000000000
chr17	78442615	-	CG	0.9666666667	30.00	29	30	NA	NA	0.8332924860	0.9940915620
chr17	78442627	+	CG	0.9687500000	32.00	31	32	NA	NA	0.8425539220	0.9944622826
chr17	78442628	-	CG	0.9729729730	37.00	36	37	NA	NA	0.8617562156	0.9952131489
chr17	78442649	+	CG	0.9250000000	40.00	37	40	NA	NA	0.8013546984	0.9741644432
chr17	78442650	-	CG	0.7750000000	40.00	31	40	NA	NA	0.6249660360	0.8768404675
chr17	78442657	+	CG	0.8888888889	45.00	40	45	NA	NA	0.7650062451	0.9515959956
chr17	78442658	-	CG	0.9024390244	41.00	37	41	NA	NA	0.7745202448	0.9614035402
chr17	78442672	+	CG	0.8297872340	47.00	39	47	NA	NA	0.6985994893	0.9111374191
chr17	78442673	-	CG	0.7872340426	47.00	37	47	NA	NA	0.6509569795	0.8801041988
chr17	78442709	+	CG	0.8163265306	49.00	40	49	NA	NA	0.6864212843	0.9002377116
chr17	78442710	-	CG	0.7906976744	43.00	34	43	NA	NA	0.6479406821	0.8857729400
chr17	78442712	+	CG	0.7916666667	48.00	38	48	NA	NA	0.6574082648	0.8826985220
chr17	78442713	-	CG	0.8292682927	41.00	34	41	NA	NA	0.6873709005	0.9147485600
chr17	78442716	+	CG	0.9069767442	43.00	39	43	NA	NA	0.7839701160	0.9632289549
chr17	78442717	-	CG	0.9736842105	38.00	37	38	NA	NA	0.8650482156	0.9953395324
chr17	78442729	+	CG	0.8478260870	46.00	39	46	NA	NA	0.7177558259	0.9242781377
chr17	78442730	-	CG	0.8918918919	37.00	33	37	NA	NA	0.7529115358	0.9571487948
chr17	78442764	+	CG	0.9523809524	42.00	40	42	NA	NA	0.8420986468	0.9868427514
chr17	78442765	-	CG	0.8787878788	33.00	29	33	NA	NA	0.7267415675	0.9518391673
chr17	78442766	+	CG	0.9512195122	41.00	39	41	NA	NA	0.8386073304	0.9865193377
chr17	78442767	-	CG	1.0000000000	33.00	33	33	NA	NA	0.8957265700	1.0000000000
chr17	78442773	+	CG	0.9285714286	42.00	39	42	NA	NA	0.8099028671	0.9754100364
chr17	78442774	-	CG	0.9062500000	32.00	29	32	NA	NA	0.7578150066	0.9675990374
chr17	78442776	+	CG	0.9250000000	40.00	37	40	NA	NA	0.8013546984	0.9741644432
chr17	78442777	-	CG	0.9677419355	31.00	30	31	NA	NA	0.8380554282	0.9942829259
chr17	78442799	+	CG	0.8857142857	35.00	31	35	NA	NA	0.7404820521	0.9546489415
chr17	78442800	-	CG	0.8333333333	36.00	30	36	NA	NA	0.6810888527	0.9212965937
chr17	78442820	+	CG	0.8387096774	31.00	26	31	NA	NA	0.6736529728	0.9290748009
chr17	78442821	-	CG	0.6857142857	35.00	24	35	NA	NA	0.5201992812	0.8144934194
chr17	78442823	+	CG	0.9285714286	28.00	26	28	NA	NA	0.7735426157	0.9801883526
chr17	78442824	-	CG	0.6875000000	32.00	22	32	NA	NA	0.5143300030	0.8204764788
chr17	78442827	+	CG	0.7407407407	27.00	20	27	NA	NA	0.5532106960	0.8682979158
chr17	78442828	-	CG	0.6562500000	32.00	21	32	NA	NA	0.4831077351	0.7958976665
chr17	78442834	+	CG	0.6521739130	23.00	15	23	NA	NA	0.4488997691	0.8118894536
chr17	78442835	-	CG	0.6060606061	33.00	20	33	NA	NA	0.4368314281	0.7531711777
chr17	78442848	+	CG	0.4761904762	21.00	10	21	NA	NA	0.2834371230	0.6763078210
chr17	78442849	-	CG	0.2903225806	31.00	9	31	NA	NA	0.1609562072	0.4659265996
chr17	78442909	+	CG	0.2352941176	17.00	4	17	NA	NA	0.0955488907	0.4726224589
chr17	78442910	-	CG	0.3225806452	31.00	10	31	NA	NA	0.1856923075	0.4985931444
chr17	78443042	+	CG	0.4166666667	12.00	5	12	NA	NA	0.1932574619	0.6804926643
chr17	78443043	-	CG	0.2222222222	36.00	8	36	NA	NA	0.1171619297	0.3808501983
chr17	78443074	+	CG	0.2222222222	9.00	2	9	NA	NA	0.0632237623	0.5474166563
chr17	78443075	-	CG	0.0444444444	45.00	2	45	NA	NA	0.0122738690	0.1482777918
chr17	78443090	+	CG	0.4285714286	7.00	3	7	NA	NA	0.1582169223	0.7495457696
chr17	78443091	-	CG	0.1777777778	45.00	8	45	NA	NA	0.0929427893	0.3133010684
chr17	78443094	+	CG	0.0000000000	6.00	0	6	NA	NA	0.0000000000	0.3903430337
chr17	78443095	-	CG	0.0800000000	50.00	4	50	NA	NA	0.0315490033	0.1883850255
chr17	78443148	+	CG	0.3333333333	3.00	1	3	NA	NA	0.0614903153	0.7923450449
chr17	78443149	-	CG	0.1176470588	51.00	6	51	NA	NA	0.0550499876	0.2338110230
chr17	78443173	+	CG	1.0000000000	2.00	2	2	NA	NA	0.3423719529	1.0000000000
chr17	78443174	-	CG	0.7142857143	42.00	30	42	NA	NA	0.5643250392	0.8283314126
chr17	78443272	+	CG	0.8888888889	18.00	16	18	NA	NA	0.6719975513	0.9689811315
chr17	78443273	-	CG	0.8636363636	22.00	19	22	NA	NA	0.6666458812	0.9525108274
chr17	78443324	+	CG	0.9722222222	36.00	35	36	NA	NA	0.8582996626	0.9950797197
chr17	78443325	-	CG	0.8750000000	8.00	7	8	NA	NA	0.5291051942	0.9775830911
chr17	78443327	+	CG	0.9428571429	35.00	33	35	NA	NA	0.8139261926	0.9841871704
chr17	78443328	-	CG	1.0000000000	6.00	6	6	NA	NA	0.6096569663	1.0000000000
chr17	78443359	+	CG	0.5714285714	42.00	24	42	NA	NA	0.4220597791	0.7088257048
chr17	78443360	-	CG	1.0000000000	1.00	1	1	NA	NA	0.2065432915	1.0000000000
chr17	78443423	+	CG	0.7500000000	48.00	36	48	NA	NA	0.6121535625	0.8507951119
chr17	78443424	-	CG	1.0000000000	1.00	1	1	NA	NA	0.2065432915	1.0000000000
chr17	78443472	+	CG	0.8333333333	48.00	40	48	NA	NA	0.7042189996	0.9130458996
chr17	78443473	-	CG	1.0000000000	2.00	2	2	NA	NA	0.3423719529	1.0000000000
chr17	78443530	+	CG	0.9393939394	33.00	31	33	NA	NA	0.8039341828	0.9832194696
chr17	78443531	-	CG	1.0000000000	8.00	8	8	NA	NA	0.6755843805	1.0000000000
chr17	78443579	+	CG	0.9090909091	33.00	30	33	NA	NA	0.7642705647	0.9685966290
chr17	78443580	-	CG	0.9090909091	11.00	10	11	NA	NA	0.6226353745	0.9837682477
chr17	78443586	+	CG	0.8157894737	38.00	31	38	NA	NA	0.6658083166	0.9077835155
chr17	78443587	-	CG	0.7272727273	11.00	8	11	NA	NA	0.4343497070	0.9025411943
chr17	78443626	+	CG	0.9200000000	50.00	46	50	NA	NA	0.8116149745	0.9684509967
chr17	78443627	-	CG	0.7777777778	9.00	7	9	NA	NA	0.4525833437	0.9367762377
chr17	78443656	+	CG	0.8965517241	58.00	52	58	NA	NA	0.7921166147	0.9517192498
chr17	78443657	-	CG	1.0000000000	8.00	8	8	NA	NA	0.6755843805	1.0000000000
chr17	78443664	+	CG	0.9454545455	55.00	52	55	NA	NA	0.8514670570	0.9812771240
chr17	78443665	-	CG	0.8888888889	9.00	8	9	NA	NA	0.5649937852	0.9801096287
chr17	78443680	+	CG	0.8947368421	57.00	51	57	NA	NA	0.7887695089	0.9508560105
chr17	78443681	-	CG	1.0000000000	8.00	8	8	NA	NA	0.6755843805	1.0000000000
chr17	78443786	+	CG	0.3617021277	47.00	17	47	NA	NA	0.2396602229	0.5046436543
chr17	78443787	-	CG	0.5384615385	13.00	7	13	NA	NA	0.2914343243	0.7679424570
chr17	78443798	+	CG	0.6739130435	46.00	31	46	NA	NA	0.5296746274	0.7913423544
chr17	78443799	-	CG	0.4375000000	16.00	7	16	NA	NA	0.2309836334	0.6682180439
chr17	78443836	+	CG	0.4358974359	39.00	17	39	NA	NA	0.2930452416	0.5902457653
chr17	78443837	-	CG	0.3478260870	23.00	8	23	NA	NA	0.1881105464	0.5511002309
chr17	78443939	+	CG	0.6000000000	5.00	3	5	NA	NA	0.2307199322	0.8823817688
chr17	78443940	-	CG	0.6600000000	50.00	33	50	NA	NA	0.5215356854	0.7756323036
chr17	78443967	+	CG	1.0000000000	2.00	2	2	NA	NA	0.3423719529	1.0000000000
chr17	78443968	-	CG	0.7200000000	50.00	36	50	NA	NA	0.5833461285	0.8252598564
chr17	78444037	-	CG	0.8867924528	53.00	47	53	NA	NA	0.7742322970	0.9470704109
chr17	78444043	-	CG	0.9038461538	52.00	47	52	NA	NA	0.7939011814	0.9582262648
chr17	78444095	+	CG	0.7500000000	4.00	3	4	NA	NA	0.3006360524	0.9544139374
chr17	78444096	-	CG	0.8378378378	37.00	31	37	NA	NA	0.6886320070	0.9234889676
chr17	78444129	+	CG	1.0000000000	5.00	5	5	NA	NA	0.5655085052	1.0000000000
chr17	78444130	-	CG	0.8604651163	43.00	37	43	NA	NA	0.7273612341	0.9344436573
chr17	78444160	+	CG	1.0000000000	4.00	4	4	NA	NA	0.5100999796	1.0000000000
chr17	78444161	-	CG	0.9302325581	43.00	40	43	NA	NA	0.8139073145	0.9759888462
chr17	78444164	+	CG	1.0000000000	5.00	5	5	NA	NA	0.5655085052	1.0000000000
chr17	78444165	-	CG	0.8863636364	44.00	39	44	NA	NA	0.7602056485	0.9504729241
chr17	78444242	+	CG	0.8333333333	6.00	5	6	NA	NA	0.4364905634	0.9699474141
chr17	78444243	-	CG	0.7878787879	33.00	26	33	NA	NA	0.6224802241	0.8932411343
chr17	78444272	+	CG	0.7500000000	4.00	3	4	NA	NA	0.3006360524	0.9544139374
chr17	78444273	-	CG	0.8372093023	43.00	36	43	NA	NA	0.7002730466	0.9188347550
chr17	78444276	+	CG	0.6666666667	3.00	2	3	NA	NA	0.2076549551	0.9385096847
chr17	78444277	-	CG	0.8372093023	43.00	36	43	NA	NA	0.7002730466	0.9188347550
chr17	78444284	+	CG	1.0000000000	2.00	2	2	NA	NA	0.3423719529	1.0000000000
chr17	78444285	-	CG	0.7500000000	44.00	33	44	NA	NA	0.6055915019	0.8542593392
chr17	78444306	+	CG	1.0000000000	3.00	3	3	NA	NA	0.4384939196	1.0000000000
chr17	78444307	-	CG	0.9183673469	49.00	45	49	NA	NA	0.8081061296	0.9677977038
chr17	78444348	+	CG	0.2857142857	14.00	4	14	NA	NA	0.1172118791	0.5464954117
chr17	78444349	-	CG	0.5000000000	38.00	19	38	NA	NA	0.3484967553	0.6515032447
chr17	78444396	+	CG	0.8750000000	24.00	21	24	NA	NA	0.6899571185	0.9565574496
chr17	78444397	-	CG	0.6842105263	19.00	13	19	NA	NA	0.4601001018	0.8463582900
chr17	78444453	+	CG	0.3157894737	38.00	12	38	NA	NA	0.1908442002	0.4745605644
chr17	78444454	-	CG	0.3181818182	22.00	7	22	NA	NA	0.1636038735	0.5268177722
chr17	78444484	+	CG	0.9555555556	45.00	43	45	NA	NA	0.8517222082	0.9877261310
chr17	78444485	-	CG	0.9000000000	20.00	18	20	NA	NA	0.6989617936	0.9721341060
chr17	78444490	+	CG	0.9772727273	44.00	43	44	NA	NA	0.8819202087	0.9959768516
chr17	78444491	-	CG	0.8500000000	20.00	17	20	NA	NA	0.6395767041	0.9476322080
chr17	78444502	+	CG	0.9302325581	43.00	40	43	NA	NA	0.8139073145	0.9759888462
chr17	78444503	-	CG	1.0000000000	18.00	18	18	NA	NA	0.8241154494	1.0000000000
chr17	78444505	+	CG	0.8888888889	45.00	40	45	NA	NA	0.7650062451	0.9515959956
chr17	78444506	-	CG	0.7647058824	17.00	13	17	NA	NA	0.5273775411	0.9044511093
chr17	78444511	+	CG	0.8541666667	48.00	41	48	NA	NA	0.7283255296	0.9275184259
chr17	78444512	-	CG	0.6875000000	16.00	11	16	NA	NA	0.4440393187	0.8583556495
chr17	78444544	+	CG	0.9000000000	40.00	36	40	NA	NA	0.7694792562	0.9604211124
chr17	78444545	-	CG	0.7857142857	14.00	11	14	NA	NA	0.5241027623	0.9242875166
chr17	78444561	+	CG	1.0000000000	39.00	39	39	NA	NA	0.9103301464	1.0000000000
chr17	78444562	-	CG	0.8333333333	18.00	15	18	NA	NA	0.6077750036	0.9416352960
chr17	78444564	+	CG	0.9512195122	41.00	39	41	NA	NA	0.8386073304	0.9865193377
chr17	78444565	-	CG	0.9523809524	21.00	20	21	NA	NA	0.7733018341	0.9915442305
chr17	78444579	+	CG	0.9069767442	43.00	39	43	NA	NA	0.7839701160	0.9632289549
chr17	78444580	-	CG	0.7777777778	27.00	21	27	NA	NA	0.5924270454	0.8939290451
chr17	78444585	+	CG	0.9512195122	41.00	39	41	NA	NA	0.8386073304	0.9865193377
chr17	78444586	-	CG	0.8846153846	26.00	23	26	NA	NA	0.7102370691	0.9599682818
chr17	78444589	+	CG	0.9285714286	42.00	39	42	NA	NA	0.8099028671	0.9754100364
chr17	78444590	-	CG	0.8076923077	26.00	21	26	NA	NA	0.6212336385	0.9149306423
chr17	78444608	+	CG	0.7555555556	45.00	34	45	NA	NA	0.6132633942	0.8576466497
chr17	78444609	-	CG	0.8333333333	30.00	25	30	NA	NA	0.6643529481	0.9266356576
chr17	78444626	+	CG	0.8684210526	38.00	33	38	NA	NA	0.7267282995	0.9424621712
chr17	78444627	-	CG	0.8620689655	29.00	25	29	NA	NA	0.6944064229	0.9450264915
chr17	78444636	+	CG	0.5454545455	44.00	24	44	NA	NA	0.4006593217	0.6829499221
chr17	78444637	-	CG	0.7857142857	28.00	22	28	NA	NA	0.6046105292	0.8978767830
chr17	78444660	+	CG	0.7916666667	48.00	38	48	NA	NA	0.6574082648	0.8826985220
chr17	78444661	-	CG	0.9655172414	29.00	28	29	NA	NA	0.8282410894	0.9938869434
chr17	78444669	+	CG	0.6888888889	45.00	31	45	NA	NA	0.5433492001	0.8047147454
chr17	78444670	-	CG	0.8000000000	30.00	24	30	NA	NA	0.6269395262	0.9049502190
chr17	78444690	+	CG	0.9411764706	34.00	32	34	NA	NA	0.8090606311	0.9837176869
chr17	78444691	-	CG	0.9310344828	29.00	27	29	NA	NA	0.7803505240	0.9808791359
chr17	78444702	+	CG	0.9687500000	32.00	31	32	NA	NA	0.8425539220	0.9944622826
chr17	78444703	-	CG	0.9354838710	31.00	29	31	NA	NA	0.7928101168	0.9821255922
chr17	78444747	+	CG	1.0000000000	25.00	25	25	NA	NA	0.8668035060	1.0000000000
chr17	78444748	-	CG	0.9310344828	29.00	27	29	NA	NA	0.7803505240	0.9808791359
chr17	78444761	+	CG	0.8636363636	22.00	19	22	NA	NA	0.6666458812	0.9525108274
chr17	78444762	-	CG	0.9642857143	28.00	27	28	NA	NA	0.8228742388	0.9936676435
chr17	78444870	+	CG	0.8571428571	14.00	12	14	NA	NA	0.6005809224	0.9599069263
chr17	78444871	-	CG	0.6666666667	12.00	8	12	NA	NA	0.3906175874	0.8618821601
chr17	78444901	+	CG	0.3636363636	11.00	4	11	NA	NA	0.1516622361	0.6462032231
chr17	78444902	-	CG	0.5000000000	20.00	10	20	NA	NA	0.2992949144	0.7007050856
chr17	78444929	+	CG	1.0000000000	12.00	12	12	NA	NA	0.7574992425	1.0000000000
chr17	78444930	-	CG	0.9310344828	29.00	27	29	NA	NA	0.7803505240	0.9808791359
chr17	78444935	+	CG	0.9166666667	12.00	11	12	NA	NA	0.6461140782	0.9851352905
chr17	78444936	-	CG	0.9062500000	32.00	29	32	NA	NA	0.7578150066	0.9675990374
chr17	78444945	+	CG	0.9090909091	11.00	10	11	NA	NA	0.6226353745	0.9837682477
chr17	78444946	-	CG	0.7142857143	35.00	25	35	NA	NA	0.5494475193	0.8367363660
chr17	78444962	+	CG	0.7500000000	8.00	6	8	NA	NA	0.4092698791	0.9285223111
chr17	78444963	-	CG	0.6888888889	45.00	31	45	NA	NA	0.5433492001	0.8047147454
chr17	78444967	+	CG	0.6250000000	8.00	5	8	NA	NA	0.3057378546	0.8631582405
chr17	78444968	-	CG	0.8043478261	46.00	37	46	NA	NA	0.6682846226	0.8934950956
chr17	78445040	+	CG	0.5000000000	2.00	1	2	NA	NA	0.0945286548	0.9054713452
chr17	78445041	-	CG	0.6071428571	56.00	34	56	NA	NA	0.4763316538	0.7241977438
chr17	78445193	+	CG	0.5000000000	4.00	2	4	NA	NA	0.1500357088	0.8499642912
chr17	78445194	-	CG	0.3787878788	66.00	25	66	NA	NA	0.2714927158	0.4994174581
chr17	78445199	+	CG	0.3333333333	3.00	1	3	NA	NA	0.0614903153	0.7923450449
chr17	78445200	-	CG	0.7656250000	64.00	49	64	NA	NA	0.6486650975	0.8525023278
chr17	78445215	+	CG	0.8000000000	5.00	4	5	NA	NA	0.3755282641	0.9637768390
chr17	78445216	-	CG	0.7903225806	62.00	49	62	NA	NA	0.6736054886	0.8731612971
chr17	78445256	+	CG	0.6666666667	12.00	8	12	NA	NA	0.3906175874	0.8618821601
chr17	78445257	-	CG	0.7681159420	69.00	53	69	NA	NA	0.6560292969	0.8519222033
chr17	78445333	+	CG	0.6000000000	10.00	6	10	NA	NA	0.3126695475	0.8318224188
chr17	78445334	-	CG	0.6527777778	72.00	47	72	NA	NA	0.5376108847	0.7524673837
chr17	78445412	+	CG	0.6666666667	6.00	4	6	NA	NA	0.2999883213	0.9032306674
chr17	78445413	-	CG	0.5810810811	74.00	43	74	NA	NA	0.4674007862	0.6867584294
chr17	78445441	+	CG	0.6666666667	3.00	2	3	NA	NA	0.2076549551	0.9385096847
