chr	pos	strand	context	ratio	eff_CT_count	C_count	CT_count	rev_G_count	rev_GA_count	CI_lower	CI_upper
chr17	78441538	-	CG	0.0000000000	6.00	0	6	NA	NA	0.0000000000	0.3903430337
chr17	78441695	+	CG	0.1250000000	8.00	1	8	NA	NA	0.0224169089	0.4708948058
chr17	78441696	-	CG	0.0000000000	5.00	0	5	NA	NA	-0.0000000000	0.4344914948
chr17	78441727	+	CG	0.0000000000	10.00	0	10	NA	NA	-0.0000000000	0.2775401688
chr17	78441728	-	CG	0.0000000000	5.00	0	5	NA	NA	-0.0000000000	0.4344914948
chr17	78441758	+	CG	0.0769230769	13.00	1	13	NA	NA	0.0137100664	0.3331453393
chr17	78441759	-	CG	0.0000000000	6.00	0	6	NA	NA	0.0000000000	0.3903430337
chr17	78441777	+	CG	0.0000000000	15.00	0	15	NA	NA	-0.0000000000	0.2038892663
chr17	78441778	-	CG	0.2000000000	5.00	1	5	NA	NA	0.0362231610	0.6244717359
chr17	78441789	+	CG	0.0625000000	16.00	1	16	NA	NA	0.0111190573	0.2832926837
chr17	78441790	-	CG	0.4000000000	5.00	2	5	NA	NA	0.1176182312	0.7692800678
chr17	78441919	+	CG	0.1454545455	55.00	8	55	NA	NA	0.0755919902	0.2616116209
chr17	78441920	-	CG	0.5000000000	2.00	1	2	NA	NA	0.0945286548	0.9054713452
chr17	78441934	+	CG	0.1052631579	57.00	6	57	NA	NA	0.0491439895	0.2112304911
chr17	78441935	-	CG	0.5000000000	2.00	1	2	NA	NA	0.0945286548	0.9054713452
chr17	78441946	+	CG	0.3214285714	56.00	18	56	NA	NA	0.2140082789	0.4517760584
chr17	78441947	-	CG	0.0000000000	2.00	0	2	NA	NA	0.0000000000	0.6576280471
chr17	78441956	+	CG	0.1587301587	63.00	10	63	NA	NA	0.0885699743	0.2681180762
chr17	78441957	-	CG	0.0000000000	1.00	0	1	NA	NA	0.0000000000	0.7934567085
chr17	78441997	+	CG	0.4714285714	70.00	33	70	NA	NA	0.3590468319	0.5867831609
chr17	78441998	-	CG	0.0000000000	1.00	0	1	NA	NA	0.0000000000	0.7934567085
chr17	78442052	+	CG	0.3134328358	67.00	21	67	NA	NA	0.2150519323	0.4320480768
chr17	78442053	-	CG	0.0000000000	1.00	0	1	NA	NA	0.0000000000	0.7934567085
chr17	78442099	+	CG	0.3466666667	75.00	26	75	NA	NA	0.2488211836	0.4594546504
chr17	78442100	-	CG	1.0000000000	2.00	2	2	NA	NA	0.3423719529	1.0000000000
chr17	78442126	+	CG	0.0714285714	70.00	5	70	NA	NA	0.0308937615	0.1565561312
chr17	78442127	-	CG	0.0000000000	4.00	0	4	NA	NA	0.0000000000	0.4899000204
chr17	78442154	+	CG	0.4925373134	67.00	33	67	NA	NA	0.3765197095	0.6093642909
chr17	78442155	-	CG	0.3000000000	10.00	3	10	NA	NA	0.1077892875	0.6032267800
chr17	78442190	+	CG	0.3913043478	69.00	27	69	NA	NA	0.2848114765	0.5092622396
chr17	78442191	-	CG	0.5000000000	12.00	6	12	NA	NA	0.2537781704	0.7462218296
chr17	78442212	+	CG	0.4545454545	66.00	30	66	NA	NA	0.3402393126	0.5738520026
chr17	78442213	-	CG	0.3333333333	12.00	4	12	NA	NA	0.1381178399	0.6093824126
chr17	78442232	+	CG	0.1451612903	62.00	9	62	NA	NA	0.0782932306	0.2534362535
chr17	78442233	-	CG	0.2307692308	13.00	3	13	NA	NA	0.0817937909	0.5025687400
chr17	78442245	+	CG	0.4827586207	58.00	28	58	NA	NA	0.3592797445	0.6083795657
chr17	78442246	-	CG	0.5000000000	12.00	6	12	NA	NA	0.2537781704	0.7462218296
chr17	78442254	+	CG	0.3166666667	60.00	19	60	NA	NA	0.2130570584	0.4423400494
chr17	78442255	-	CG	0.5000000000	12.00	6	12	NA	NA	0.2537781704	0.7462218296
chr17	78442264	+	CG	0.3846153846	52.00	20	52	NA	NA	0.2647027133	0.5204037306
chr17	78442265	-	CG	0.1666666667	12.00	2	12	NA	NA	0.0469641476	0.4480363574
chr17	78442298	+	CG	0.3166666667	60.00	19	60	NA	NA	0.2130570584	0.4423400494
chr17	78442299	-	CG	0.3636363636	11.00	4	11	NA	NA	0.1516622361	0.6462032231
chr17	78442303	+	CG	0.3492063492	63.00	22	63	NA	NA	0.2432581940	0.4724876888
chr17	78442304	-	CG	0.4000000000	10.00	4	10	NA	NA	0.1681775812	0.6873304525
chr17	78442307	+	CG	0.3870967742	62.00	24	62	NA	NA	0.2758446343	0.5115238379
chr17	78442308	-	CG	0.3750000000	8.00	3	8	NA	NA	0.1368417595	0.6942621454
chr17	78442327	+	CG	0.2982456140	57.00	17	57	NA	NA	0.1953239241	0.4266452549
chr17	78442328	-	CG	0.2500000000	4.00	1	4	NA	NA	0.0455860626	0.6993639476
chr17	78442372	+	CG	0.2162162162	37.00	8	37	NA	NA	0.1138637685	0.3719546127
chr17	78442373	-	CG	1.0000000000	1.00	1	1	NA	NA	0.2065432915	1.0000000000
chr17	78442436	+	CG	0.3000000000	20.00	6	20	NA	NA	0.1454752740	0.5189767762
chr17	78442437	-	CG	0.0000000000	1.00	0	1	NA	NA	0.0000000000	0.7934567085
chr17	78442547	+	CG	0.4000000000	15.00	6	15	NA	NA	0.1982422808	0.6425355724
chr17	78442548	-	CG	0.5217391304	23.00	12	23	NA	NA	0.3296242986	0.7076313046
chr17	78442569	+	CG	0.0000000000	19.00	0	19	NA	NA	0.0000000000	0.1681843654
chr17	78442570	-	CG	0.0384615385	26.00	1	26	NA	NA	0.0068218090	0.1889317699
chr17	78442576	+	CG	0.0500000000	20.00	1	20	NA	NA	0.0088812194	0.2361358935
chr17	78442577	-	CG	0.0000000000	28.00	0	28	NA	NA	0.0000000000	0.1206472037
chr17	78442594	+	CG	0.0400000000	25.00	1	25	NA	NA	0.0070960504	0.1954447241
chr17	78442595	-	CG	0.0357142857	28.00	1	28	NA	NA	0.0063323565	0.1771257612
chr17	78442614	+	CG	0.0000000000	31.00	0	31	NA	NA	-0.0000000000	0.1102590007
chr17	78442615	-	CG	0.0333333333	30.00	1	30	NA	NA	0.0059084380	0.1667075140
chr17	78442627	+	CG	0.0312500000	32.00	1	32	NA	NA	0.0055377174	0.1574460780
chr17	78442628	-	CG	0.0270270270	37.00	1	37	NA	NA	0.0047868511	0.1382437844
chr17	78442649	+	CG	0.0750000000	40.00	3	40	NA	NA	0.0258355568	0.1986453016
chr17	78442650	-	CG	0.2000000000	40.00	8	40	NA	NA	0.1049986497	0.3475760738
chr17	78442657	+	CG	0.1111111111	45.00	5	45	NA	NA	0.0484040044	0.2349937549
chr17	78442658	-	CG	0.0731707317	41.00	3	41	NA	NA	0.0251973733	0.1942774002
chr17	78442672	+	CG	0.1702127660	47.00	8	47	NA	NA	0.0888625809	0.3014005107
chr17	78442673	-	CG	0.1914893617	47.00	9	47	NA	NA	0.1041581561	0.3254428006
chr17	78442709	+	CG	0.1836734694	49.00	9	49	NA	NA	0.0997622884	0.3135787157
chr17	78442710	-	CG	0.2093023256	43.00	9	43	NA	NA	0.1142270600	0.3520593179
chr17	78442712	+	CG	0.2083333333	48.00	10	48	NA	NA	0.1173014780	0.3425917352
chr17	78442713	-	CG	0.1707317073	41.00	7	41	NA	NA	0.0852514400	0.3126290995
chr17	78442716	+	CG	0.0930232558	43.00	4	43	NA	NA	0.0367710451	0.2160298840
chr17	78442717	-	CG	0.0263157895	38.00	1	38	NA	NA	0.0046604676	0.1349517844
chr17	78442729	+	CG	0.1521739130	46.00	7	46	NA	NA	0.0757218623	0.2822441741
chr17	78442730	-	CG	0.1081081081	37.00	4	37	NA	NA	0.0428512052	0.2470884642
chr17	78442764	+	CG	0.0476190476	42.00	2	42	NA	NA	0.0131572486	0.1579013532
chr17	78442765	-	CG	0.1212121212	33.00	4	33	NA	NA	0.0481608327	0.2732584325
chr17	78442766	+	CG	0.0487804878	41.00	2	41	NA	NA	0.0134806623	0.1613926696
chr17	78442767	-	CG	0.0000000000	33.00	0	33	NA	NA	0.0000000000	0.1042734300
chr17	78442773	+	CG	0.0714285714	42.00	3	42	NA	NA	0.0245899636	0.1900971329
chr17	78442774	-	CG	0.0937500000	32.00	3	32	NA	NA	0.0324009626	0.2421849934
chr17	78442776	+	CG	0.0750000000	40.00	3	40	NA	NA	0.0258355568	0.1986453016
chr17	78442777	-	CG	0.0322580645	31.00	1	31	NA	NA	0.0057170741	0.1619445718
chr17	78442799	+	CG	0.1142857143	35.00	4	35	NA	NA	0.0453510585	0.2595179479
chr17	78442800	-	CG	0.1666666667	36.00	6	36	NA	NA	0.0787034063	0.3189111473
chr17	78442820	+	CG	0.1612903226	31.00	5	31	NA	NA	0.0709251991	0.3263470272
chr17	78442821	-	CG	0.3142857143	35.00	11	35	NA	NA	0.1855065806	0.4798007188
chr17	78442823	+	CG	0.0714285714	28.00	2	28	NA	NA	0.0198116474	0.2264573843
chr17	78442824	-	CG	0.3125000000	32.00	10	32	NA	NA	0.1795235212	0.4856699970
chr17	78442827	+	CG	0.2592592593	27.00	7	27	NA	NA	0.1317020842	0.4467893040
chr17	78442828	-	CG	0.3437500000	32.00	11	32	NA	NA	0.2041023335	0.5168922649
chr17	78442834	+	CG	0.3478260870	23.00	8	23	NA	NA	0.1881105464	0.5511002309
chr17	78442835	-	CG	0.3333333333	33.00	11	33	NA	NA	0.1975002947	0.5039241820
chr17	78442848	+	CG	0.3809523810	21.00	8	21	NA	NA	0.2075076780	0.5912170418
chr17	78442849	-	CG	0.6451612903	31.00	20	31	NA	NA	0.4694763804	0.7888355226
chr17	78442909	+	CG	0.2352941176	17.00	4	17	NA	NA	0.0955488907	0.4726224589
chr17	78442910	-	CG	0.1612903226	31.00	5	31	NA	NA	0.0709251991	0.3263470272
chr17	78443042	+	CG	0.2500000000	12.00	3	12	NA	NA	0.0889400396	0.5323103391
chr17	78443043	-	CG	0.0277777778	36.00	1	36	NA	NA	0.0049202803	0.1417003374
chr17	78443074	+	CG	0.2222222222	9.00	2	9	NA	NA	0.0632237623	0.5474166563
chr17	78443075	-	CG	0.2000000000	45.00	9	45	NA	NA	0.1089600440	0.3382325131
chr17	78443090	+	CG	0.1428571429	7.00	1	7	NA	NA	0.0256789559	0.5131345033
chr17	78443091	-	CG	0.1111111111	45.00	5	45	NA	NA	0.0484040044	0.2349937549
chr17	78443094	+	CG	0.5000000000	6.00	3	6	NA	NA	0.1876128069	0.8123871931
chr17	78443095	-	CG	0.2600000000	50.00	13	50	NA	NA	0.1587137965	0.3955342199
chr17	78443148	+	CG	0.3333333333	3.00	1	3	NA	NA	0.0614903153	0.7923450449
chr17	78443149	-	CG	0.4901960784	51.00	25	51	NA	NA	0.3585726214	0.6231930455
chr17	78443173	+	CG	0.0000000000	2.00	0	2	NA	NA	0.0000000000	0.6576280471
chr17	78443174	-	CG	0.0238095238	42.00	1	42	NA	NA	0.0042152955	0.1232148117
chr17	78443272	+	CG	0.0555555556	18.00	1	18	NA	NA	0.0098749358	0.2575779980
chr17	78443273	-	CG	0.0000000000	22.00	0	22	NA	NA	0.0000000000	0.1486595257
chr17	78443324	+	CG	0.0277777778	36.00	1	36	NA	NA	0.0049202803	0.1417003374
chr17	78443325	-	CG	0.1250000000	8.00	1	8	NA	NA	0.0224169089	0.4708948058
chr17	78443327	+	CG	0.0571428571	35.00	2	35	NA	NA	0.0158128296	0.1860738074
chr17	78443328	-	CG	0.0000000000	6.00	0	6	NA	NA	0.0000000000	0.3903430337
chr17	78443359	+	CG	0.3571428571	42.00	15	42	NA	NA	0.2298899250	0.5083391071
chr17	78443360	-	CG	0.0000000000	1.00	0	1	NA	NA	0.0000000000	0.7934567085
chr17	78443423	+	CG	0.1250000000	48.00	6	48	NA	NA	0.0585697175	0.2470072709
chr17	78443424	-	CG	0.0000000000	1.00	0	1	NA	NA	0.0000000000	0.7934567085
chr17	78443472	+	CG	0.0833333333	48.00	4	48	NA	NA	0.0328832243	0.1955356516
chr17	78443473	-	CG	0.0000000000	2.00	0	2	NA	NA	0.0000000000	0.6576280471
chr17	78443530	+	CG	0.0606060606	33.00	2	33	NA	NA	0.0167805304	0.1960658172
chr17	78443531	-	CG	0.0000000000	8.00	0	8	NA	NA	0.0000000000	0.3244156195
chr17	78443579	+	CG	0.0909090909	33.00	3	33	NA	NA	0.0314033710	0.2357294353
chr17	78443580	-	CG	0.0909090909	11.00	1	11	NA	NA	0.0162317523	0.3773646255
chr17	78443586	+	CG	0.1578947368	38.00	6	38	NA	NA	0.0744376222	0.3041712264
chr17	78443587	-	CG	0.2727272727	11.00	3	11	NA	NA	0.0974588057	0.5656502930
chr17	78443626	+	CG	0.0800000000	50.00	4	50	NA	NA	0.0315490033	0.1883850255
chr17	78443627	-	CG	0.2222222222	9.00	2	9	NA	NA	0.0632237623	0.5474166563
chr17	78443656	+	CG	0.1034482759	58.00	6	58	NA	NA	0.0482807502	0.2078833853
chr17	78443657	-	CG	0.0000000000	8.00	0	8	NA	NA	0.0000000000	0.3244156195
chr17	78443664	+	CG	0.0545454545	55.00	3	55	NA	NA	0.0187228760	0.1485329430
chr17	78443665	-	CG	0.1111111111	9.00	1	9	NA	NA	0.0198903713	0.4350062148
chr17	78443680	+	CG	0.1052631579	57.00	6	57	NA	NA	0.0491439895	0.2112304911
chr17	78443681	-	CG	0.0000000000	8.00	0	8	NA	NA	0.0000000000	0.3244156195
chr17	78443786	+	CG	0.3617021277	47.00	17	47	NA	NA	0.2396602229	0.5046436543
chr17	78443787	-	CG	0.1538461538	13.00	2	13	NA	NA	0.0432572632	0.4223517051
chr17	78443798	+	CG	0.0434782609	46.00	2	46	NA	NA	0.0120051936	0.1453252292
chr17	78443799	-	CG	0.2500000000	16.00	4	16	NA	NA	0.1018190198	0.4949876893
chr17	78443836	+	CG	0.2051282051	39.00	8	39	NA	NA	0.1077959020	0.3553427296
chr17	78443837	-	CG	0.1739130435	23.00	4	23	NA	NA	0.0697854035	0.3713805479
chr17	78443939	+	CG	0.2000000000	5.00	1	5	NA	NA	0.0362231610	0.6244717359
chr17	78443940	-	CG	0.1200000000	50.00	6	50	NA	NA	0.0561752371	0.2380507889
chr17	78443967	+	CG	0.0000000000	2.00	0	2	NA	NA	0.0000000000	0.6576280471
chr17	78443968	-	CG	0.1800000000	50.00	9	50	NA	NA	0.0977008273	0.3079631945
chr17	78444037	-	CG	0.0754716981	53.00	4	53	NA	NA	0.0297390736	0.1785872226
chr17	78444043	-	CG	0.0576923077	52.00	3	52	NA	NA	0.0198138127	0.1564275558
chr17	78444095	+	CG	0.2500000000	4.00	1	4	NA	NA	0.0455860626	0.6993639476
chr17	78444096	-	CG	0.1621621622	37.00	6	37	NA	NA	0.0765110324	0.3113679930
chr17	78444129	+	CG	0.0000000000	5.00	0	5	NA	NA	-0.0000000000	0.4344914948
chr17	78444130	-	CG	0.1395348837	43.00	6	43	NA	NA	0.0655563427	0.2726387659
chr17	78444160	+	CG	0.0000000000	4.00	0	4	NA	NA	0.0000000000	0.4899000204
chr17	78444161	-	CG	0.0465116279	43.00	2	43	NA	NA	0.0128489903	0.1545577592
chr17	78444164	+	CG	0.0000000000	5.00	0	5	NA	NA	-0.0000000000	0.4344914948
chr17	78444165	-	CG	0.0681818182	44.00	3	44	NA	NA	0.0234589702	0.1822532134
chr17	78444242	+	CG	0.1666666667	6.00	1	6	NA	NA	0.0300525859	0.5635094366
chr17	78444243	-	CG	0.1818181818	33.00	6	33	NA	NA	0.0861065123	0.3438856705
chr17	78444272	+	CG	0.2500000000	4.00	1	4	NA	NA	0.0455860626	0.6993639476
chr17	78444273	-	CG	0.1627906977	43.00	7	43	NA	NA	0.0811652450	0.2997269534
chr17	78444276	+	CG	0.3333333333	3.00	1	3	NA	NA	0.0614903153	0.7923450449
chr17	78444277	-	CG	0.1627906977	43.00	7	43	NA	NA	0.0811652450	0.2997269534
chr17	78444284	+	CG	0.0000000000	2.00	0	2	NA	NA	0.0000000000	0.6576280471
chr17	78444285	-	CG	0.2500000000	44.00	11	44	NA	NA	0.1457406608	0.3944084981
chr17	78444306	+	CG	0.0000000000	3.00	0	3	NA	NA	0.0000000000	0.5615060804
chr17	78444307	-	CG	0.0612244898	49.00	3	49	NA	NA	0.0210397650	0.1652074342
chr17	78444348	+	CG	0.5714285714	14.00	8	14	NA	NA	0.3259026690	0.7861949007
chr17	78444349	-	CG	0.3947368421	38.00	15	38	NA	NA	0.2559785926	0.5528241300
chr17	78444396	+	CG	0.0416666667	24.00	1	24	NA	NA	0.0073932654	0.2024222625
chr17	78444397	-	CG	0.0526315789	19.00	1	19	NA	NA	0.0093517525	0.2463921534
chr17	78444453	+	CG	0.6578947368	38.00	25	38	NA	NA	0.4989181163	0.7878777997
chr17	78444454	-	CG	0.6363636364	22.00	14	22	NA	NA	0.4295134934	0.8026702723
chr17	78444484	+	CG	0.0222222222	45.00	1	45	NA	NA	0.0039334975	0.1156694639
chr17	78444485	-	CG	0.1000000000	20.00	2	20	NA	NA	0.0278658940	0.3010382064
chr17	78444490	+	CG	0.0000000000	44.00	0	44	NA	NA	0.0000000000	0.0802983178
chr17	78444491	-	CG	0.1500000000	20.00	3	20	NA	NA	0.0523677920	0.3604232959
chr17	78444502	+	CG	0.0697674419	43.00	3	43	NA	NA	0.0240111538	0.1860926855
chr17	78444503	-	CG	0.0000000000	18.00	0	18	NA	NA	0.0000000000	0.1758845506
chr17	78444505	+	CG	0.1111111111	45.00	5	45	NA	NA	0.0484040044	0.2349937549
chr17	78444506	-	CG	0.2352941176	17.00	4	17	NA	NA	0.0955488907	0.4726224589
chr17	78444511	+	CG	0.1458333333	48.00	7	48	NA	NA	0.0724815741	0.2716744704
chr17	78444512	-	CG	0.3125000000	16.00	5	16	NA	NA	0.1416443505	0.5559606813
chr17	78444544	+	CG	0.1000000000	40.00	4	40	NA	NA	0.0395788876	0.2305207438
chr17	78444545	-	CG	0.2142857143	14.00	3	14	NA	NA	0.0757124834	0.4758972377
chr17	78444561	+	CG	0.0000000000	39.00	0	39	NA	NA	0.0000000000	0.0896698536
chr17	78444562	-	CG	0.1666666667	18.00	3	18	NA	NA	0.0583647040	0.3922249964
chr17	78444564	+	CG	0.0487804878	41.00	2	41	NA	NA	0.0134806623	0.1613926696
chr17	78444565	-	CG	0.0476190476	21.00	1	21	NA	NA	0.0084557695	0.2266981659
chr17	78444579	+	CG	0.0930232558	43.00	4	43	NA	NA	0.0367710451	0.2160298840
chr17	78444580	-	CG	0.2222222222	27.00	6	27	NA	NA	0.1060709549	0.4075729546
chr17	78444585	+	CG	0.0487804878	41.00	2	41	NA	NA	0.0134806623	0.1613926696
chr17	78444586	-	CG	0.1153846154	26.00	3	26	NA	NA	0.0400317182	0.2897629309
chr17	78444589	+	CG	0.0714285714	42.00	3	42	NA	NA	0.0245899636	0.1900971329
chr17	78444590	-	CG	0.1923076923	26.00	5	26	NA	NA	0.0850693577	0.3787663615
chr17	78444608	+	CG	0.2444444444	45.00	11	45	NA	NA	0.1423533503	0.3867366058
chr17	78444609	-	CG	0.1666666667	30.00	5	30	NA	NA	0.0733643424	0.3356470519
chr17	78444626	+	CG	0.1315789474	38.00	5	38	NA	NA	0.0575378288	0.2732717005
chr17	78444627	-	CG	0.1379310345	29.00	4	29	NA	NA	0.0549735085	0.3055935771
chr17	78444636	+	CG	0.4545454545	44.00	20	44	NA	NA	0.3170500779	0.5993406783
chr17	78444637	-	CG	0.2142857143	28.00	6	28	NA	NA	0.1021232170	0.3953894708
chr17	78444660	+	CG	0.2083333333	48.00	10	48	NA	NA	0.1173014780	0.3425917352
chr17	78444661	-	CG	0.0344827586	29.00	1	29	NA	NA	0.0061130566	0.1717589106
chr17	78444669	+	CG	0.3111111111	45.00	14	45	NA	NA	0.1952852546	0.4566507999
chr17	78444670	-	CG	0.2000000000	30.00	6	30	NA	NA	0.0950497810	0.3730604738
chr17	78444690	+	CG	0.0588235294	34.00	2	34	NA	NA	0.0162823131	0.1909393689
chr17	78444691	-	CG	0.0689655172	29.00	2	29	NA	NA	0.0191208641	0.2196494760
chr17	78444702	+	CG	0.0312500000	32.00	1	32	NA	NA	0.0055377174	0.1574460780
chr17	78444703	-	CG	0.0645161290	31.00	2	31	NA	NA	0.0178744078	0.2071898832
chr17	78444747	+	CG	0.0000000000	25.00	0	25	NA	NA	0.0000000000	0.1331964940
chr17	78444748	-	CG	0.0689655172	29.00	2	29	NA	NA	0.0191208641	0.2196494760
chr17	78444761	+	CG	0.1363636364	22.00	3	22	NA	NA	0.0474891726	0.3333541188
chr17	78444762	-	CG	0.0000000000	28.00	0	28	NA	NA	0.0000000000	0.1206472037
chr17	78444870	+	CG	0.0000000000	14.00	0	14	NA	NA	0.0000000000	0.2153170119
chr17	78444871	-	CG	0.0833333333	12.00	1	12	NA	NA	0.0148647095	0.3538859218
chr17	78444901	+	CG	0.6363636364	11.00	7	11	NA	NA	0.3537967769	0.8483377639
chr17	78444902	-	CG	0.4500000000	20.00	9	20	NA	NA	0.2581950209	0.6579179917
chr17	78444929	+	CG	0.0000000000	12.00	0	12	NA	NA	0.0000000000	0.2425007575
chr17	78444930	-	CG	0.0689655172	29.00	2	29	NA	NA	0.0191208641	0.2196494760
chr17	78444935	+	CG	0.0833333333	12.00	1	12	NA	NA	0.0148647095	0.3538859218
chr17	78444936	-	CG	0.0937500000	32.00	3	32	NA	NA	0.0324009626	0.2421849934
chr17	78444945	+	CG	0.0909090909	11.00	1	11	NA	NA	0.0162317523	0.3773646255
chr17	78444946	-	CG	0.2857142857	35.00	10	35	NA	NA	0.1632636340	0.4505524807
chr17	78444962	+	CG	0.2500000000	8.00	2	8	NA	NA	0.0714776889	0.5907301209
chr17	78444963	-	CG	0.3111111111	45.00	14	45	NA	NA	0.1952852546	0.4566507999
chr17	78444967	+	CG	0.3750000000	8.00	3	8	NA	NA	0.1368417595	0.6942621454
chr17	78444968	-	CG	0.1956521739	46.00	9	46	NA	NA	0.1065049044	0.3317153774
chr17	78445040	+	CG	0.0000000000	2.00	0	2	NA	NA	0.0000000000	0.6576280471
chr17	78445041	-	CG	0.1250000000	56.00	7	56	NA	NA	0.0618899014	0.2362572070
chr17	78445193	+	CG	0.2500000000	4.00	1	4	NA	NA	0.0455860626	0.6993639476
chr17	78445194	-	CG	0.4848484848	66.00	32	66	NA	NA	0.3684676202	0.6028961516
chr17	78445199	+	CG	0.6666666667	3.00	2	3	NA	NA	0.2076549551	0.9385096847
chr17	78445200	-	CG	0.1406250000	64.00	9	64	NA	NA	0.0757848701	0.2461650839
chr17	78445215	+	CG	0.2000000000	5.00	1	5	NA	NA	0.0362231610	0.6244717359
chr17	78445216	-	CG	0.1451612903	62.00	9	62	NA	NA	0.0782932306	0.2534362535
chr17	78445256	+	CG	0.2500000000	12.00	3	12	NA	NA	0.0889400396	0.5323103391
chr17	78445257	-	CG	0.0869565217	69.00	6	69	NA	NA	0.0404630701	0.1770170511
chr17	78445333	+	CG	0.2000000000	10.00	2	10	NA	NA	0.0566809480	0.5098431533
chr17	78445334	-	CG	0.0833333333	72.00	6	72	NA	NA	0.0387518971	0.1701255527
chr17	78445412	+	CG	0.1666666667	6.00	1	6	NA	NA	0.0300525859	0.5635094366
chr17	78445413	-	CG	0.2567567568	74.00	19	74	NA	NA	0.1709757585	0.3665465946
chr17	78445441	+	CG	0.0000000000	3.00	0	3	NA	NA	0.0000000000	0.5615060804
